beta,epoch,loss,recon,kl
1.0,1,0.7896500204776501,0.7844023148457447,0.0052477038601549475
1.0,2,0.5884852467833815,0.5760767913914777,0.012408452377924034
1.0,3,0.5688594141760627,0.5544152137514826,0.014444202507237295
1.0,4,0.5550483751583386,0.5331557174702665,0.02189266142268498
1.0,5,0.5456707810794746,0.5269953816442996,0.018675400842879865
1.0,6,0.5414196871541761,0.5194476431793159,0.02197204411842742
1.0,7,0.539003215871893,0.5137878716051638,0.025215343166668493
1.0,8,0.533033348060585,0.5071781056301968,0.02585524013331225
1.0,9,0.5480392214891551,0.5314999411294649,0.016539277559196628
1.0,10,0.5342727205655476,0.5103239134863928,0.023948806650317588
1.0,11,0.5293320332084213,0.5030843697272025,0.026247658849776805
1.0,12,0.5378439700281298,0.5136728387575846,0.02417112888024376
4.0,1,0.8519417352981873,0.847608903387526,0.001083207664515094
4.0,2,0.6101024383240873,0.6091433310950244,0.00023977695553793337
4.0,3,0.5842498808174401,0.5819567967881192,0.0005732699436638659
4.0,4,0.5709749698877573,0.5694017174007656,0.0003933149182612451
4.0,5,0.5729194019769166,0.5709975149419095,0.00048047130946321666
4.0,6,0.5585801538165744,0.5559899574285513,0.000647550456262463
4.0,7,0.5589556080681665,0.5564666359990209,0.0006222432442904414
4.0,8,0.5582277133419469,0.5563801689310236,0.000461886950500041
4.0,9,0.5580979728841925,0.5561616457737721,0.0004840818011445237
4.0,10,0.5536433788868519,0.5511340398091573,0.0006273347941284125
4.0,11,0.5533669085294993,0.5506474910913645,0.0006798528849104843
4.0,12,0.5540106413481353,0.5511352784998782,0.0007188409265120037
8.0,1,0.8791205251777733,0.8711145563168569,0.0010007462269613797
8.0,2,0.677558370359667,0.6765324547364786,0.00012823930188056288
8.0,3,0.6027629635594152,0.6011078506857306,0.0002068893665129
8.0,4,0.5687125543574313,0.5677453016375636,0.0001209063597201606
8.0,5,0.5608617908603795,0.5598743724393415,0.00012342707061481934
8.0,6,0.55892645999476,0.5577143822107706,0.00015150998776632447
8.0,7,0.5560277693264477,0.5552140886003191,0.00010171007027468379
8.0,8,0.5548415130323118,0.5533744394480884,0.00018338382238021318
8.0,9,0.5556099433321375,0.5541643372049799,0.00018070126284478797
8.0,10,0.5565116543311615,0.5554427681742488,0.00013361088707819358
8.0,11,0.5535112619996667,0.5528551107412344,8.201911800456032e-05
8.0,12,0.551179171085835,0.5506644252542261,6.434302385504898e-05
